ID,NoD,TAP,LCP,SLC,DC,SDC,BC,CC,TZ,SCZ,SDZ,CD,RCD,SD,RSD,ND,NR,SCR,RCR,RDC,NC,SCC,RCZ,RDZ,RCC,SDCC,BFN,FN,TFP
apache/mahut,44,15.95,2.2727,176.83,0.008447,0.163,0.000255,22,10,943.6,7.27,5,11.3636,6,13.6363,0.257,28,135.9,109,1466,3,1289,396.9,6.7,132300,7.57,0.88,0.00733,45.19
apache/cassandra,348,7.3,0.2873,401,0.00218,0.18,0.00000003,194,20,1758,35.68,22,6.321,159,45.68,0.202,234,45.4,2906,116,3,10979,1214.6,3510,8097.33,72.5,0.93,0.066,49.7
apache/lucene-solr,181,12.83,0.55,427,0.00328,0.223,0.00000029,105,19,5517.1,21.63,25,13.81215,39,21.54,0.32,247,113.14,71.52,60.33,3,10116,164200,1621,103993,46.5,0.86,0.03917,47.31
apache/pig,32,23.13,3.125,216,0.204,0.2145,0.00002,19,1,0,0,5,15.625,0,0,0.4,59,57.42,3071,1066,3,927.1,317300,3200,105766,5.8,0.84,0.0167,46.31
apache/jackrabbit,49,22,3.56,429.56,0.13,0.225,0.0000065,29,1,0,0,9,18.39,0,0,0.329,220,43,22268,2450,3,470,8558,49,470,6.3,0.816,0.042,33.97
apache/jena,66,14.08,1.44,642,0.01222,0.1837,0.000028,37,15,1296,7.8,6,8.69,22,33.33,0.23,66,436.9,436,23,4,2732,509,6.53,2548,4.3,0.9,0.027,32.86
eclipse/cdt,249,9.28,0.4,356.16,0.0027,0.1465,0.00000054,131,14,5145,28,13,5.22,98,39.35,0.154,251,124,124,83,3,8860,1852,28,8646,53.35,0.94,0.0413,48.37
ApacheDrill,178,10.103,0.5494,42,0.022,0.1522,0.00017,51,14,589,33,14,2.74,59,32.92,0.226,6,212,212,91,3,964,242.71,21,1699,2.8,0.91,0.0052,47.37
ganttproject,31,9.8,3.22,485,0.1827,0.167,0.000243,14,8,489,4.88,14,6.45,4,12.9,0.253,30,206,206,7.75,4,789.44,320,5.125,641,4.03,0.54,0.0099,35.01
qemu/qemu,1613,8.1,0.071,251,0.00053,0.157,0.0000005,869,25,4773,127,53,13.81,498,35,0.137,238,407,410,463,3,22384,2590,96,21591,376,0.96,0.0415,49.02
nginx/ngin,62,8.1,1.58,490,0.0127,0.236,0.000034,34,12,1296,5.24,7,11.11,21,34.92,0.248,507,22.4,22,21,3,1892,540,7.4,2161,7,0.8888,0.084,27.64
bitcoin/bitcoin,739,5.3,0.132,235.85,0.00119,0.113,0.00000002,389,29,1381,49.61,16,2.12,239,32.62,0.1025,212,100.43,101,377,3,5433,1358,36,656,32.5,0.97,0.064,48.95
python/cpython,779,0.045,0.12,632.2,0.00095,0.138,0.00000001,430,22,13217,61,38,4.58,185,23.79,0.1823,371,250,250,276,3,50088.32,4291,49.45,34335,118.4,0.95,0.035,49.8
liferay,20,19,0.37,12.3,0.255,0.249,0.0007,13,10,22.8,2.5,10,66,7,66,0.5631,8,9.7,0,7,3,8,17.8,3.4,44,2,0.5,0.011,33.33
Thepracticaldev,82,0.104,0.08,5.12,0.0044,0.175,0.000006,60,17,175.43,7.5,31,26,35,0.42,0.64,0,0,0,59.5,2,85.55,57,6.8,600,9.1,0.62,0,27.63
floweisshardt/atf,10,0.1215,10.67,203.16,0.07,0.195,0.000656,3.37,3,458.4,2.3,1,11.11,6,55.5,0.2666,0,0,0,3,3,481.1,288,3.66,288,1,0.9,0,49.02
eclipse/b3,9,19.4,19.66,96.67,0.044,0.24,0.0019,4.74,5,683.45,2.07,4,11.1,1,44,0.47,0,0,0,4.5,2,895.9,318,2.6,796,0.707,0.55,0,48.91
eclipse/rdf4j-storage,27,30,1.77,111.6,0.017,0.219,0.0003,16,11,102.3,3.93,10,37,7,25,0.42,34,49.1,49,6.75,4,343.24,122,3.9,335,0.957,0.62,0.039,32.32
Equinoxprojectrepository,16,10.9,1.17,51.93,0.00089,0.078,0.00038,3.17,9,70.37,2.18,0,0,4,23,0.123,239,0.8,0.802,5,3,97.84,35.55,2.5,105,0,1,0,49.44
ApachejUDDI,17,14,15.7,122.3,0.223,0.16,0.00038,6.94,3,1391.4,6.35,0,0,0,0,0.138,4,98.08,98.65,6.5,3,1212,953,5.6,1429,0.707,1,0.0057,28.9
ApacheMavenJavadocPlugin,39,18,0.62,55.75,0.01388,0.144,0.0002,18,5,403.8,14.8,1,2.5,2,5.12,0.138,22,28.16,28.146,9.75,4,195,190,9.8,238,6.39,0.97,0.004,46.88
ApacheMavenShadePlugin,27,20,0.5,23.9,0.0158,0.12,0.00007,12,5,159,8.7,1,3.3,2,13.3,0.2338,2.9,10.05,9.9,9.6,2,147,67.14,5.4,156,5.77,0.96,0.007,37.74
cloudera,14,17,1.96,50.6,0.03351,0.246,0.002,9.76,6,99.9,2.7,9,64.2,4,28.5,0.626,344,82.54,82,7,2,204,64.16,3,192.5,0,0.35,0.222,39.55
ApacheAvro,27,9.77,0.23,95.25,0.00619,0.124,0.000018,41,14,371.4,6.7,3,0.035,39,0.464,0.1485,70,24.94,24,16.8,5,495,120,7.35,336,6.2,0.88,0.02,37.31
ApacheBeanValidation,12,27,7.3,166,0.0473,0.25,0.00042,0.769,5,227,4.22,5,41.6,0,0,0.435,1,731,0,4,3,225,210,3.6,350,2,0.8333,0.0006,17.14
ApacheCordovaAndroid,222,5.1,0.07,73,0.00301,0.083,0.00000012,98,22,325.18,16.16,2,0.88,110,49,0.07724,133,36.64,37.17,45,5,875,169,13,745,33.95,0.99,0.35,45.45
Apacheapache/ignite,289,22,0.29,291,0.00221,0.218,0.0000006,180,17,3556,55.6,21,7.2,96,33,0.368,79,1098,1098,96,3,11953.3,1463,23.64,8295,76.53,0.92,0.27,46.98
ApacheEagle,37,16,0.76,55,0.0109,0.239,0.000068,28,5,352.5,10.38,14,37.8,18,37.8,0.415,4,290,290,18,3,272.94,209.4,12.4,523,1.41,0.62,0.004,41
ApacheEdgent,38,11,0.9,102,0.0122,0.249,0.000008,26,13,127.5,4.6,26,68.42,11,28.94,0.574,9,224.3,224,9.5,4,324.9,101,4.23,324,4.1,0.315,0.013,12.56
ApacheEmpire-db,13,20,6.21,169.7,0.05744,0.274,0.00046,7,4,411,2.08,2,15,3,30,0.33333,44,75.39,58,4.33,3,298.9,350,6.6,350,1.15,0.84,0.011,10.38
apache/spark,1887,4.9,0.006,55.9,0.00045,0.11,1.00E-10,1005,16,3043,293.2,48,2.5,738,39,0.1268,81,275,275,629,3,5240,1438,207,7673,364.24,0.6,0.027,47.71
ApacheGora,57,15.55,32.9,43.7,0.0058,0.11,0.000007,26,14,136.35,7.18,0,0,5,8.7,0.1635,16,50.78,50.78,19,3,132,76.57,4.9,357,5.29,1,0.0085,48
apache/flink,664,6.85,0.033,107,0.001212,0.115,0.000000003,340,19,1941,68.13,13,1.95,280,42.1,0.125,71,485,485,166,4,3959,784,44.3,3726,122,0.97,0.04,43.42
eclipse/openj9-omr,140,26.48,0.37,101.4,0.0039575,0.237,0.000003,94,15,948.7,29.3,51,36,69,49,0.484,534,127,127,70,2,60.8,348,14,2613,4.24,0.63,0.55,30.76
Rails,4664,4.19,0.15,160,0.00009,0.067,9.00E-12,2403,30,3078,255.07,20,0.42,2018,43,0.0571,348,154.2,154,1554,3,19681,2351,203,23510,1146,0.99,0.068,48.42
Audacity,123,12.97,0.76,282,0.0067,0.15,0.0000078,60,12,1256,18.2,7,5.69,27,21.95,0.2,19,550,550,30.75,4,1759,781,13.41,2343,16.9,0.94,0.007,49.74
GitLab,2277,4.5,0.0154,293,0.000398,0.1,0.000000007,1198,29,6110,198,42,1.77,565,28,0.094,899,57,60,1182,3,13086,2972,107,43096,164,0.98,0.34,49.49
Scala,538,5.26,0.1,283,0.000181,0.111,0.00000006,282,22,3321,41.6,13,2.4,180,33,0.109,128,504,504,179,3,9389,1428,33.68,10478,67.88,0.9,0.023,48.15
